award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
439,,5odlY52u43F5BjByhxg7wg,86
440,,6b6CdXY3wpG7OFtp6FOwLz,86
441,,7cY9kWU1cPLJ1wxxvKEZMh,86
442,,0d4mAx3fJvSJQPkREvjMDT,88
443,,10Hx18HoNVjnsBKwQIH9eX,88
444,,1p4znbL4AT5p3qMWFLhCdJ,88
445,,2dR6XZWFAfbH7jAb1r5qcE,88
446,,40IGDj8y6mbq3ZGYV8Zo60,88
447,,4e3Zs0VTWbGw4PmOwOZwZR,88
448,,5w3gA8oGndl475y4xICRYF,88
449,,6IdUSDkIkBP7ZmTIZrZiVV,88
450,,6TgqGNKs3qOO3Cpj7fJi40,88
451,,724GJE6FqTdNKMARgAr6i7,88
452,,79HOkvmqDClCE9YAUApCP4,88
453,,7HZycMIpBHgDa8Re6S2UcR,88
454,,7d7whQmni6ZvmfkWE5XEAX,88
455,,0Z2NiMOKlPxBNjecKIn0It,90
456,,2VxeLyX666F8uXCJ0dZF8B,90
457,,2WQRPsMOrbeqms7JgmmVv3,90
458,,2WihaIEZnX9dNRinCebwUj,90
459,,6yyMx2bMYGS9jVfqc6G5Ay,90
460,,1vvNmPOiUuyCbgWmtc6yfm,91
461,,2gSVKxPDww9Eep5rdvtdem,91
462,,3kTd1IWGIQqXwfwkjA2lXl,91
463,,4tlaJa7CjOTsLSwqYkk2cV,91
464,,6QeKdjO0YGwHr8m0rwDMSh,91
465,,77YGCnTBB84rj02rcWFPwH,91
466,,7IDWTbGKu2xA22w37BN6Ei,91
467,,0NNSpmyyr0I4lrMaXS8Tba,93
468,,2NyaaTM7BOAPQaFRIqdE4c,93
469,,1TnUURhehaoMWKAqQtirm6,100
470,,1ZtVN326V42hioNyRjU4P2,100
471,,1oACG26rFg4XwAkW5oGGUa,100
472,,21t2aeBdnMEl2xVG4ORhP7,100
473,,6bPPyigCphBBQ9781j6eKM,100
474,,6d4FWjx72iuRWzn1HwywLK,100
475,,72SPsHheqN6J3sI520jT9E,100
476,,2D3qufqNMZql09F5PH6vfF,102
477,,2JoZzpdeP2G6Csfdq5aLXP,102
478,,13JoLz1uqiif77Bs1tSKlh,105
479,,1x7Ts6pnwIwOOo0vSMNndW,105
480,,2koESjC2WBc6qmfg0dmTRt,105
481,,6DCZcSspjsKoFjzjrWoCdn,108
482,,0RKdkJ2sJvU4LesmlFTguN,110
483,,0Rz2MaUfMUkWZR6jbhtRkP,110
484,,1PbWcL0h8jVvLDsxKsg6EP,110
485,,1e8OoeGOa2VbOqrBhYDliJ,110
486,,30VHURM5NOfoZmqp2iKawS,110
487,,38nSpCQCOiuwXOfVy07bGj,110
488,,6mCljAhAwsKTCsdaA0tIYF,110
489,,6qkj3pujFNHmkPHO529vkC,110
490,,7eQHxigpuDJjCG50JyzU8v,110
491,,020XZ8mDVjzbnmvjL6GKls,111
492,,3S7NB9yGDk4HjbHxkqzgK8,111
493,,42fw0rxRO2xbesF6mJfd4Y,111
494,,5gJKsGij5oGt5H5RSFYXPa,111
495,,7nvMpVadr2vaZESadQRjCl,111
496,,4yNk9iz9WVJikRFle3XEvn,113
497,,5odlY52u43F5BjByhxg7wg,113
498,,6b6CdXY3wpG7OFtp6FOwLz,113
499,,7cY9kWU1cPLJ1wxxvKEZMh,113
500,,0JwhT2vTrFK4eFlX5ecTdf,120
501,,4cqiLvFRDuV8ClE61eMmZx,120
502,,6Up545NUflOiXo8cEraH49,121
503,,5MLyeHVDkcgrWBM5sR2hzm,124
504,,3eWfIqKOLCTbrQwrXKEtw4,125
505,,0X7iyRg19skHthQ5dYnYZN,128
506,,18k8IlS52uxRWObykDUZFG,129
507,,18k8IlS52uxRWObykDUZFG,130
508,,0PhU6i6Kei6x0CH3jocvA3,138
509,,1NRM5z19Y90559njWU9I8q,138
510,,2bHGHbsFmjQdmdE7hZSKr6,138
511,,4POYhha0J5c7XOTuR9OHFK,138
512,,57c4LHG99WZF98BYh9bklJ,138
