nominee_id,name,winner,grammy_event_id
973,radio music society,1,616
974,unity band,1,617
975,dear diz every day i think of you,1,618
976,ritmo,1,619
977,10000 reasons bless the lord,1,620
978,go get it,1,621
979,10000 reasons bless the lord,1,622
980,your presence is heaven,1,622
981,gravity,1,623
982,eye on it,1,624
983,mtv unplugged deluxe edition,1,625
984,imaginaries,1,626
985,pecados y milagros,1,627
986,retro,1,628
987,slipstream,1,629
988,nobody knows you,1,630
989,locked down,1,631
990,the goat rodeo sessions,1,632
991,the band courtbouillon,1,633
992,rebirth,1,634
993,the living room sessions part 1,1,635
994,can you canoe,1,636
995,society's child my autobiography,1,637
996,blow your pants off,1,638
997,once a new musical,1,639
998,midnight in paris,1,640
999,the girl with the dragon tattoo,1,641
1000,safe sound from the hunger games,1,642
1001,mozart goes dancing,1,643
1002,how about you,1,644
1003,city of roses,1,645
1004,biophilia,1,646
1005,woody at 100 the woody guthrie centennial collection,1,647
1006,singular genius the complete abc singles,1,648
1007,the smile sessions deluxe box set,1,649
1008,the goat rodeo sessions,1,650
1009,dan auerbach,1,651
1010,promises skrillex nero remix,1,652
1011,modern cool,1,653
1012,life breath - choral works by rene clausen,1,654
1013,blanton alspaugh producer,1,655
1014,adams harmonielehre short ride in a fast machine,1,656
1015,wagner der ring des nibelungen,1,657
1016,life breath - choral works by rene clausen,1,658
1017,meanwhile,1,659
1018,kurtag ligeti music for viola,1,660
1019,poemes,1,661
1020,penderecki fonogrammi horn concerto partita the awakening of jacob anaklasis,1,662
1021,hartke stephen meanwhile - incidental music to imaginary puppet plays,1,663
1022,we found love,1,664
1023,big easy express,1,665
1024,rolling in the deep,1,666
1025,21,1,667
1026,rolling in the deep,1,668
1027,bon iver,1,669
1028,someone like you,1,670
1029,body and soul,1,671
1030,the road from memphis,1,672
1031,21,1,673
1032,scary monsters and nice sprites,1,674
